15 min Energy Abbreviation,Campus Map Abbreviation,Building Name,In borders?,kW?,kWh?,
ADC,AC,Art and Design Center,yes,yes,yes,
AR,AR,Arbor Grill,yes,yes,yes,
BB,BB,Bookstein Hall,yes,yes,yes,
BH,BH,Bayramian Hall,yes,yes,yes,
BK,CSC,Campus Store Complex,yes,yes,yes,
BP,BP,Donald Bianchi Planetarium,yes,yes,yes,
CR,CR,Chaparral Hall,yes,yes,yes,
CS,CS,Citrus Hall,yes,yes,yes,
CY,CY,Cypress Hall,yes,yes,yes,
ED,ED,Education,yes,yes,yes,
EH,EH,Eucalyptus Hall,yes,yes,yes,
JD,JD,Jacaranda Hall,yes,yes,yes,
JR,JR,Jerome Richfield Hall,yes,yes,yes,
LL,LL,Lilac Hall,yes,yes,yes,
LO,LO,Live Oak Hall,yes,yes,yes,
MDF,MDF,Main Distribution Facility,yes,yes,yes,
MG,MG,Magnolia Hall,yes,yes,yes,
MZ,MZ,Manzanita Hall,yes,yes,yes,
NC: H,Field North of F10,North Campus Hill Top (Trailers near Boeing Site),no,yes,yes,
NC: R,G12,North Campus Rydell (Parking Lot Leased Out),no,yes,yes,
NH,NH,Nordhoff Hall,yes,yes,yes,
OV,UL,University Library,yes,yes,yes,
PL: B2,PL: B2,Parking Lot B2,yes,yes,yes,generation
PL: E6,PL: E6,Parking Lot E6,yes,yes,yes,
PPM,PPM,Physical Plant Management,yes,yes,yes,
PS: B3,PS: B3,Parking Structure B3,yes,yes,yes,
PS: B5,PS: B5,Parking Structure B5,yes,yes,yes,
PS: G3,PS: G3,Parking Structure G3,yes,yes,yes,
RE,RE,Redwood Hall,yes,yes,yes,
SC,SC,Sierra Center,yes,no,yes,
SH,SH,Sierra Hall,yes,yes,yes,
SQ,SQ,Sequoia Hall,yes,yes,yes,
SRC,SRC,Student Recreation Center,yes,no,yes,
ST,ST,Sierra Tower,yes,yes,yes,
UN,VH,Valera Hall,yes,yes,yes,
USU,USU,University Student Union,yes,no,yes,
VPAC,TS,The Soraya,yes,no,yes,
