OV,RE,USU
151.9,154.5,332.7
133.9,164.5,332.7
132.0,156.5,332.7
167.3,156.3,332.7
132.1,158.4,332.7
151.9,153.3,332.7
131.6,164.0,332.7
134.0,157.5,332.7
134.1,153.4,332.7
132.2,166.5,332.7
170.1,173.8,332.7
134.6,154.2,332.7
149.2,167.5,332.7
131.6,156.4,332.7
135.5,162.6,332.7
168.6,170.5,332.7
131.6,160.6,332.7
152.6,168.0,332.7
150.2,153.9,332.7
148.5,162.6,332.7
133.5,153.9,332.7
131.0,156.7,332.7
166.1,172.1,332.7
130.9,168.7,332.7
131.2,161.1,332.7
128.3,197.2,332.7
129.7,183.1,332.7
131.5,188.5,332.7
124.1,188.1,332.7
144.1,190.9,332.7
122.9,193.8,332.7
157.9,181.8,332.7
124.6,190.7,332.7
122.3,176.3,332.7
121.8,176.3,332.7
123.1,176.7,332.7
159.1,180.7,332.7
122.2,187.8,332.7
139.6,178.9,332.7
143.0,176.2,332.7
122.8,254.3,332.7
141.3,253.3,332.7
123.7,263.7,332.7
157.0,248.9,332.7
122.6,263.7,332.7
122.8,259.0,332.7
137.8,265.5,332.7
122.7,256.2,332.7
158.8,257.0,332.7
120.6,264.0,332.7
142.9,256.1,332.7
140.6,266.0,332.7
120.1,254.6,332.7
158.8,263.9,332.7
121.6,258.3,332.7
120.7,259.5,332.7
141.0,262.6,332.7
122.5,255.4,332.7
158.0,259.5,332.7
123.8,255.4,332.7
121.3,255.9,332.7
139.7,258.4,332.7
123.0,257.7,332.7
122.5,261.5,332.7
122.7,254.9,332.7
124.2,264.3,332.7
157.9,256.6,332.7
123.0,265.2,332.7
132.4,266.5,332.7
129.2,200.6,332.7
130.0,197.9,332.7
128.2,197.1,332.7
148.6,198.2,332.7
149.1,174.7,332.7
129.1,180.5,332.7
130.8,177.0,332.7
148.4,176.9,332.7
127.6,172.3,332.7
131.1,178.8,332.7
126.6,173.5,332.7
130.5,176.3,332.7
152.5,178.4,332.7
130.2,179.1,332.7
150.1,181.0,332.7
150.1,179.6,332.7
130.5,172.2,332.7
148.2,182.8,332.7
129.8,172.5,332.7
145.6,184.4,332.7
150.0,182.6,332.7
130.8,171.2,332.7
151.5,175.5,332.7
128.0,170.1,332.7
128.8,156.3,332.7
166.2,153.4,332.7
129.6,162.0,332.7
148.1,141.9,332.7
150.3,187.7,332.7
128.3,192.1,332.7
167.4,174.7,332.7
129.4,184.4,332.7
148.4,177.9,332.7
149.2,180.8,332.7
129.6,184.4,332.7
130.1,180.1,332.7
129.6,189.7,332.7
148.9,176.0,332.7
149.6,180.0,332.7
129.6,183.6,332.7
129.4,179.8,332.7
147.1,190.8,332.7
128.8,189.8,332.7
127.2,186.4,332.7
147.0,193.6,332.7
148.2,178.2,332.7
131.7,178.3,332.7
133.4,189.1,332.7
150.3,183.3,332.7
133.7,188.5,332.7
132.2,185.3,332.7
147.8,192.0,332.7
132.2,179.0,332.7
133.7,206.1,332.7
164.7,198.3,332.7
130.4,188.3,332.7
125.5,218.8,332.7
162.3,202.5,332.7
123.5,206.2,332.7
124.1,206.1,332.7
143.0,198.7,332.7
149.4,202.0,332.7
133.9,195.8,332.7
135.5,202.5,332.7
134.6,210.1,332.7
136.0,204.9,332.7
146.1,231.2,332.7
145.4,236.6,332.7
145.1,233.6,332.7
163.8,206.1,332.7
177.6,227.2,332.7
161.2,188.1,332.7
162.3,225.9,332.7
174.6,184.4,332.7
195.2,203.8,332.7
193.1,200.4,332.7
176.1,194.0,332.7
190.4,202.6,332.7
174.6,187.0,332.7
160.6,187.0,332.7
176.2,187.1,332.7
178.6,184.1,332.7
160.5,198.2,332.7
161.2,204.7,332.7
178.9,195.1,332.7
131.5,197.3,332.7
134.1,185.9,332.7
133.6,182.9,332.7
153.4,198.1,332.7
135.5,186.1,332.7
133.4,193.5,332.7
152.9,197.6,332.7
122.3,204.4,332.7
122.1,203.1,332.7
122.8,202.2,332.7
122.9,194.6,332.7
145.3,198.1,332.7
125.1,197.4,332.7
130.8,204.6,332.7
129.2,204.9,332.7
148.9,182.8,332.7
147.5,184.8,332.7
128.2,181.7,332.7
130.6,181.1,332.7
131.2,181.0,332.7
146.4,183.8,332.7
132.2,200.8,332.7
153.6,195.4,332.7
135.9,173.8,332.7
132.1,172.8,332.7
129.4,173.1,332.7
149.8,169.4,332.7
147.4,176.5,332.7
130.7,175.6,332.7
166.0,173.0,332.7
129.9,172.5,332.7
130.5,168.1,332.7
129.8,164.3,332.7
130.3,169.0,332.7
146.7,165.4,332.7
129.4,145.5,332.7
128.8,152.6,332.7
130.4,147.8,332.7
131.6,152.0,332.7
132.2,154.9,332.7
150.4,147.7,332.7
147.5,146.6,332.7
129.9,157.4,332.7
144.7,142.1,332.7
129.6,149.9,332.7
135.0,151.8,332.7
157.3,151.6,332.7
134.4,147.9,332.7
148.2,146.7,332.7
135.8,166.7,332.7
131.4,144.3,332.7
196.2,266.2,332.7
176.5,260.6,332.7
180.1,257.3,332.7
181.6,258.7,332.7
199.0,262.9,332.7
197.5,256.7,332.7
176.5,260.4,332.7
181.1,261.1,332.7
186.7,266.1,332.7
195.9,277.8,332.7
202.4,282.7,332.7
179.3,289.9,332.7
205.6,331.4,332.7
193.1,335.0,332.7
187.6,333.8,332.7
208.8,338.6,332.7
187.5,322.9,332.7
185.3,343.4,332.7
187.8,332.0,332.7
256.1,321.1,332.7
272.8,317.4,332.7
255.6,322.1,332.7
259.4,327.1,332.7
261.0,336.6,332.7
256.7,359.8,332.7
293.8,329.9,332.7
257.8,344.2,332.7
279.5,338.3,332.7
258.0,350.1,332.7
256.6,352.9,332.7
275.8,347.7,332.7
258.8,342.9,332.7
262.2,339.5,332.7
262.4,332.2,332.7
283.1,329.5,332.7
277.7,331.3,332.7
259.2,366.4,332.7
274.6,369.0,332.7
260.2,327.8,332.7
258.6,327.2,332.7
255.9,349.2,332.7
277.4,327.6,332.7
259.1,331.2,332.7
261.3,334.1,332.7
286.4,362.9,332.7
258.2,333.4,332.7
261.6,329.3,332.7
296.2,333.1,332.7
256.5,327.9,332.7
255.7,326.2,332.7
276.0,321.7,332.7
276.5,326.9,332.7
253.0,357.2,332.7
283.6,336.4,332.7
270.6,349.1,332.7
200.5,345.0,332.7
196.7,356.8,332.7
198.5,350.7,332.7
197.7,339.2,332.7
187.6,365.9,332.7
189.5,313.3,332.7
188.1,312.1,332.7
205.6,317.2,332.7
206.2,320.3,332.7
191.8,305.9,332.7
189.3,305.3,332.7
206.9,307.2,332.7
208.4,337.2,332.7
205.6,319.0,332.7
190.6,285.5,332.7
187.6,290.6,332.7
188.7,280.8,332.7
205.1,280.9,332.7
188.6,283.2,332.7
207.9,286.3,332.7
180.5,296.2,332.7
181.4,261.1,332.7
171.0,260.8,332.7
169.9,260.2,332.7
195.7,265.5,332.7
175.0,172.8,332.7
174.9,164.6,332.7
170.6,182.3,332.7
171.4,161.7,332.7
186.8,164.0,332.7
152.2,164.6,332.7
170.3,158.4,332.7
150.4,164.3,332.7
169.4,168.4,332.7
150.6,167.7,332.7
151.4,166.2,332.7
167.7,167.3,332.7
148.7,157.3,332.7
150.9,160.9,332.7
169.3,167.0,332.7
151.9,163.4,332.7
150.5,176.7,332.7
187.9,167.4,332.7
152.3,160.5,332.7
168.8,158.3,332.7
169.2,169.9,332.7
166.7,155.7,332.7
149.2,163.0,332.7
153.1,165.6,332.7
151.3,163.3,332.7
168.6,168.7,332.7
170.6,174.0,332.7
181.5,169.8,332.7
161.7,341.5,332.7
197.7,343.6,332.7
162.6,327.6,332.7
161.5,335.8,332.7
221.4,320.6,332.7
205.4,329.0,332.7
221.5,338.6,332.7
237.6,336.0,332.7
270.2,331.7,332.7
252.4,340.9,332.7
272.0,342.1,332.7
271.6,348.2,332.7
259.1,334.4,332.7
292.7,340.5,332.7
273.5,367.1,332.7
255.8,344.8,332.7
276.6,568.2,332.7
272.9,557.8,332.7
260.6,543.8,332.7
270.6,549.2,332.7
270.0,580.5,332.7
256.5,548.5,332.7
264.9,561.5,332.7
286.6,530.5,332.7
258.3,564.5,332.7
277.8,539.1,332.7
273.5,565.5,332.7
260.4,549.1,332.7
258.7,548.8,332.7
278.2,548.3,332.7
259.5,538.1,332.7
278.8,539.6,332.7
258.1,568.7,332.7
257.9,534.0,332.7
297.4,534.2,332.7
259.3,569.6,332.7
264.6,562.7,332.7
267.5,580.5,332.7
273.5,555.4,332.7
277.3,541.4,332.7
256.2,544.0,332.7
259.3,544.7,332.7
252.6,541.7,332.7
195.5,591.7,332.7
187.8,546.5,332.7
205.8,583.9,332.7
193.1,596.6,332.7
211.4,566.8,332.7
188.4,529.2,332.7
189.2,541.7,332.7
221.2,514.2,332.7
190.2,524.2,332.7
190.0,506.8,332.7
206.1,512.3,332.7
192.9,515.8,332.7
188.3,521.6,332.7
191.0,558.1,332.7
188.4,533.4,332.7
223.1,497.5,332.7
192.8,503.9,332.7
191.0,501.9,332.7
190.4,505.0,332.7
188.9,497.7,332.7
224.9,489.4,332.7
189.7,476.2,332.7
205.4,478.6,332.7
222.0,481.3,332.7
192.3,488.2,332.7
208.7,379.0,332.7
190.6,382.7,332.7
188.0,378.6,332.7
226.1,355.6,332.7
166.5,350.9,332.7
180.9,383.1,332.7
165.7,377.2,332.7
163.1,370.5,332.7
165.2,352.5,332.7
181.9,354.9,332.7
164.9,375.3,332.7
165.8,380.2,332.7
163.7,377.3,332.7
166.6,351.9,332.7
166.6,370.2,332.7
165.1,346.5,332.7
165.1,374.3,332.7
197.0,349.6,332.7
164.6,373.6,332.7
198.9,375.4,332.7
168.9,374.2,332.7
164.9,345.7,332.7
182.4,376.3,332.7
165.8,375.8,332.7
185.0,327.9,332.7
167.4,311.8,332.7
188.3,341.5,332.7
184.6,335.1,332.7
165.5,497.1,332.7
164.8,437.2,332.7
202.0,448.7,332.7
159.2,418.8,332.7
208.6,454.5,332.7
228.3,429.3,332.7
207.3,428.3,332.7
264.6,436.9,332.7
260.6,457.1,332.7
295.7,427.6,332.7
258.0,452.4,332.7
257.7,452.4,332.7
277.8,449.7,332.7
256.2,524.2,332.7
258.8,486.8,332.7
263.6,520.1,332.7
258.1,383.2,332.7
262.1,427.1,332.7
260.5,594.6,332.7
279.1,596.0,332.7
264.3,587.6,332.7
296.0,579.9,332.7
257.7,572.1,332.7
288.7,574.1,332.7
275.7,523.5,332.7
275.7,521.3,332.7
257.3,496.1,332.7
297.6,508.8,332.7
256.6,479.2,332.7
285.6,510.5,332.7
258.0,474.2,332.7
277.8,504.5,332.7
274.2,535.4,332.7
257.0,480.8,332.7
285.2,479.8,332.7
261.2,481.0,332.7
273.9,518.7,332.7
258.9,547.5,332.7
274.1,471.4,332.7
278.7,474.3,332.7
278.6,472.6,332.7
273.2,473.5,332.7
249.3,471.1,332.7
183.0,470.5,332.7
232.8,500.8,332.7
196.3,470.3,332.7
219.5,474.5,332.7
197.6,472.6,332.7
210.6,473.8,332.7
211.7,444.7,332.7
191.1,476.3,332.7
194.2,447.7,332.7
210.3,435.4,332.7
189.9,476.8,332.7
192.2,470.7,332.7
210.9,446.0,332.7
211.1,466.3,332.7
194.0,433.2,332.7
191.4,431.3,332.7
209.4,428.8,332.7
189.2,423.4,332.7
193.2,425.2,332.7
209.4,426.1,332.7
194.3,422.8,332.7
210.8,405.9,332.7
207.9,409.2,332.7
189.5,410.9,332.7
217.0,419.4,332.7
199.9,318.3,332.7
199.4,303.4,332.7
209.6,302.5,332.7
