University Library (OV),Redwood Hall (RE),University Student Union (USU),Campus Store Complex (CSC),Jacaranda Hall (JD),Sierra Hall (SH),Parking Lot B1 (PL:B1),Parking Lot and Structure B3 (PLPS:B3),Parking Lot B4 (PL:B4),Parking Lot and Structure B5 (PLPS:B5),Parking Lot B6 (PL:B6),Parking Lots C6 and D6 (PL:C6D6),Parking Lot F5 (PL:F5),Parking Structure G3 (PS:G3),Parking Structure G6 (PS:G6)
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.57,8.98,1.18,3.65,10.12,1.71,16.8790313,29.8305039,10.0800225,21.0104824,16.2044082,7.63100391,12.807876,13.9668525,15.2179365
20.19,25.67,2.29,8.1,30.44,3.31,30.0395078,51.1899063,18.38325,37.1603047,27.6846719,13.3334453,21.8513418,23.8880742,26.2620234
28.46,37.79,3.73,10.62,43.75,3.91,67.8682734,113.555859,41.3096914,83.3848828,61.5996953,29.8978008,48.5050391,53.1408672,58.7983359
36.59,44.16,4.18,13,51.93,7.72,317.387906,473.992094,188.595563,382.854719,255.316172,134.573922,201.215375,224.892688,266.14175
288.09,445.34,67.9,155.2,384.1,97,295.533656,463.193094,181.613203,359.699688,250.300422,127.711961,197.88075,218.439875,251.200219
286.52,439.66,67.9,155.2,387.01,97,221.383016,363.313906,135.128219,270.967156,197.117766,96.4198906,155.156734,170.599703,190.810828
35.05,41.48,4.48,13.93,50.45,7.58,373.596656,599.084063,222.904797,458.912625,326.545375,158.520734,256.737813,282.257719,320.78775
28.87,33.65,3.98,11.09,41.11,3.94,245.888844,413.582438,142.204703,312.122219,214.781797,106.24375,162.140359,195.942391,218.686406
18.17,21.94,2.85,7.04,26.66,2.97,142.450375,265.581563,81.9035469,198.831938,128.625984,66.0235859,90.5304219,129.486961,142.032031
5.83,8.11,1.27,2.78,8.46,1.55,11.1224932,32.0827656,8.4626709,20.0785645,12.36796,6.16708887,9.57019922,15.1854941,14.3472451
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.85,9.39,1.24,3.8,10.71,1.8,17.1819668,30.9226719,10.3761279,21.3918867,16.8281797,7.76194678,13.3160029,14.3971309,15.4152832
20.29,26.1,2.34,8.24,30.94,3.37,84.7523672,133.706469,50.30475,103.395461,72.6731797,36.6282891,57.6017266,63.8576641,72.5892891
28.87,38.34,3.78,10.77,44.37,3.97,143.695281,232.145938,86.9312109,175.824875,126.132531,62.7964531,99.5194063,109.498297,123.872398
36.7,44.12,4.14,12.95,51.93,7.67,206.574813,332.293688,125.019516,251.596984,179.748688,89.6395469,141.173313,155.692547,177.0225
291,451.65,67.9,155.2,384.47,97,431.703156,657.00275,265.954406,524.160344,353.479719,185.340453,279.628375,310.533031,364.376531
289.95,446.44,67.9,155.2,388.76,97,104.359602,174.865672,63.7838555,127.959453,94.6288047,45.8174336,74.78075,81.8119453,90.8037188
35.95,41.97,4.51,14.09,51.1,7.64,267.559188,434.117094,161.558328,328.633063,235.381531,115.178148,185.521109,204.248219,229.884359
29.26,34.58,4,11.19,41.58,3.92,47.532625,80.2517891,29.1447129,58.7152695,43.5012773,21.0233477,34.3552656,37.6454414,41.5286523
18.56,22.59,2.91,7.19,27.23,3.03,73.9538047,125.212609,45.0153203,91.9212422,67.4677422,32.7638164,52.4767773,58.8501953,64.9311094
6.15,8.54,1.34,2.59,8.91,1.63,8.16180664,14.0184072,5.08426025,10.3793779,7.15770068,3.6062373,5.622521,6.51769336,7.33652881
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
